timestamp_ros,elapsed_time,ai_enabled,error_x,error_y,error_yaw,acc_x,acc_y,acc_z,gyro_z,linear_x,angular_z,yaw_odom,yaw_filtered,yaw_diff,acc_y_mul_gyro_z,gyro_z_mul_linear_x,cmd_linear_x,cmd_angular_z,delta_angular_z,delta_cmd_angular_z
1744469826.8270936,7.833305358886719,0,0.0,0.0,0.0,-0.27,0.11,8.82,0.2544444444444444,0.2571337861540497,0.620846163752118,0.0731563359709167,0.0731563359709167,0.0,0.027988888888888886,0.06542626336586375,0.2362331071852979,0.6,6.02375074690053,8.01788121721884
1744469827.0262842,8.032189130783081,0,0.0,0.0,0.0,-0.62,0.69,11.09,0.72,0.3060149948477642,0.6539417082712233,0.2088495397879422,0.11386429711602436,0.09498524267191785,0.49679999999999996,0.2203307962903902,0.26531317757616846,0.6,-2.5935029906144873,0.0
1744469827.2247238,8.230930089950562,0,0.0,0.0,0.0,-2.19,0.15,14.91,0.7666666666666667,0.35579302371601945,0.6485042685789584,0.352212359472877,0.18536871582308018,0.1668436436497968,0.115,0.2727746515156149,0.3,0.4662523999612381,1.385994320946948,-6.682606602255965
1744469827.4268115,8.432924509048462,0,0.0,0.0,0.0,-0.26,0.88,6.63,0.6033333333333334,0.36933831506119374,0.43960124784141513,0.4702064497485587,0.27082003600072374,0.19938641374783495,0.5309333333333334,0.2228341167535869,0.3,0.137107869151812,-4.615560075869009,-16.350236538782482
1744469827.626253,8.632391691207886,0,0.0,0.0,0.0,-0.52,-0.63,10.15,0.07888888888888888,0.36392216871468586,0.0621292648252817,0.5156341745046888,0.3442642775519133,0.17136989695277555,-0.049699999999999994,0.028709415531936327,0.3,-0.07283858822899505,1.7879656027419195,-11.054498807127326
1744469827.8241951,8.830408811569214,0,0.0,0.0,0.0,-0.32,-0.55,7.91,-0.12555555555555556,0.3630144893352014,-0.14819942410087245,0.49911500186609997,0.3907194948461693,0.10839550701993067,0.06905555555555556,-0.04557848588319751,0.3,-0.11160961449726362,-0.04855324817538192,-1.9478412016518205
1744469828.0259366,9.031999349594116,0,0.0,0.0,0.0,1.19,-1.73,6.94,-0.14444444444444443,0.3763140892699343,-0.11778218756470267,0.47433624290820403,0.41580451926477974,0.058531723643424294,0.24988888888888885,-0.05435647956121273,0.3,-0.1172785458210676,2.9686389479385973,-0.28293753141064476
1744469828.2261236,9.232205152511597,0,0.0,0.0,0.0,0.2,0.16,5.4,-0.043333333333333335,0.3861377633892978,-0.05879524375920658,0.4489675134989349,0.42575341753502627,0.02321409596390861,-0.006933333333333334,-0.01673263641353624,0.3,-0.02344883856237276,4.423422539627596,4.6753824350932325
1744469828.4331338,9.439364910125732,0,0.0,0.0,0.0,0.19,-1.4,13.45,0.034444444444444444,0.3671716701628217,0.05910207970416261,0.43952798627688167,0.4298857881575829,0.009642198119298784,-0.04822222222222222,0.012647024194497192,0.3,0.0545325153771347,2.960365063370888,3.9060093477661235
1744469828.6339629,9.640145778656006,0,0.0,0.0,0.0,-0.29,-0.65,7.69,0.05333333333333334,0.36256283833758374,0.02960300782522465,0.4507374248530708,0.43614127916622925,0.014596145686841533,-0.03466666666666667,0.0193366847113378,0.3,0.06798514870820294,-3.138046535451609,0.6750141618738225
1744469828.8255715,9.831779956817627,0,0.0,0.0,0.0,1.48,-0.94,7.91,0.028888888888888888,0.3793022322204301,0.030969767888724,0.4660766565889053,0.44512189239303207,0.02095476419587322,-0.027155555555555554,0.010957620041923535,0.3,0.10077877098526693,-5.7679612527471456,1.7214605710964646
1744469829.0248337,10.030986070632935,0,0.0,0.0,0.0,0.0,0.01,5.15,0.15222222222222223,0.38309249217411867,0.184994362418181,0.48731559283852904,0.45778000252668116,0.02953559031184788,0.0015222222222222223,0.05831519047539362,0.3,0.13793349160568183,3.506234193441129,1.9417637723919545
1744469829.227179,10.23337721824646,0,0.0,0.0,0.0,0.36,-1.38,9.42,0.16777777777777778,0.38483308063699756,0.12388992535620322,0.5168141154074514,0.4754902363909122,0.04132387901653917,-0.2315333333333333,0.06456643908465182,0.3,0.12480677983426722,-2.364835051600461,-0.6891308444900918
1744469829.4240186,10.430212497711182,0,0.0,0.0,0.0,-0.41,-0.64,12.14,0.11666666666666667,0.3699935210164496,0.155557503055421,0.5404129334625843,0.49496704551241383,0.045445887950170516,-0.07466666666666667,0.043165910785252455,0.3,0.16173690262497917,0.04451888977713598,1.9474975073120888
1744469829.6252694,10.631470203399658,0,0.0,0.0,0.0,-0.12,-0.96,7.76,0.12777777777777777,0.37098596992859695,0.14718745087420207,0.568731515128744,0.5170963863973129,0.05163512873143106,-0.12266666666666665,0.047403762824209605,0.3,0.09967575963001553,4.266070946997555,-3.09667376852387
1744469829.8241367,10.830323696136475,0,0.0,0.0,0.0,0.19,-0.6,9.7,0.11777777777777777,0.3781726193433172,0.1775458306777476,0.5941002445380129,0.5401975438395229,0.053902700698490014,-0.07066666666666666,0.044540330722657354,0.3,0.12787470082561528,3.709687236021935,1.4143658740609013
1744469830.0239704,11.030180215835571,0,0.0,0.0,0.0,0.54,-2.05,12.67,0.11,0.37017503183827755,0.21788734268417412,0.6235987671069352,0.5652179108197466,0.05838085628718859,-0.22549999999999998,0.04071925350221053,0.3,0.20649682192357488,3.765247067800073,4.148092744593026
1744469830.2267785,11.233004570007324,0,0.0,0.0,0.0,-0.4,-1.01,8.35,0.12777777777777777,0.37278648519128676,0.20706251905076756,0.6660766396061751,0.5954755294556752,0.07060111015049997,-0.12905555555555553,0.04763382866333108,0.3,0.24403485689182275,-1.4277816565078527,1.8821088079405874
